Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
13|05250708|0||19-12-11|10m19s43|100081|241|122,199[GJ]|2043,698|||494,400[m3]|0,000[m3]|0,000[m3]|0,001[m3]|0,057|||2,26[kW]|73,7|39,4|34,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/19
14|07321207|0||19-12-11|10m19s47|97257|806|40,288[GJ]|544,868|||943,683[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,005|||0,10[kW]|59,6|42,2|17,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/20
15|10601106|0||19-12-11|10m19s51|108516|7036|100,758[GJ]|2967,047|||462,731[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|54,5|34,1|20,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/21
16|15751106|0||19-12-11|10m19s56|95103|5115|108,830[GJ]|2392,923|||470,194[m3]|0,001[m3]|0,008[m3]|0,000[m3]|0,402|||19,93[kW]|76,9|35,5|41,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/22
17|25060408|2||19-12-11|10m20s00|63639|8387|2,643[GJ]|58,726|||24,481[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000 (!)|||0,00 (!)[kW]|46,0|33,0|13,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/23
18|16630806|0||19-12-11|10m20s04|96008|10310|19,606[GJ]|229,830|||77,298[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,026|||0,99[kW]|74,5|41,4|33,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6/24
19|05320708|16||19-12-11|10m20s08|100248|3087|224,464[GJ]|2019,125|||81,042[m3]|4,162[m3]|173,483[m3]|17,544[m3]|0,000|||0,00[kW]|29,3|32,6|-3,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 6
1a|01411213|0||19-12-11|10m20s13|52314|830|2575,70[GJ]|51232,17|||0,000[m3]|0,000[m3]|0,000[m3]|0,425[m3]|0,64|||14,1[kW]|95,0|75,1|19,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wezel cieplny - W6
1b|06310211|0||19-12-11|10m20s17|57270|2598|10,111[GJ]|74,769|||35,774[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,031|||1,48[kW]|76,1|34,3|41,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/1
1c|11971011|0||19-12-11|10m20s21|61969|4093|8,809[GJ]|118,550|||61,306[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,492|||13,23[kW]|71,9|48,6|23,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 4/2
