Nr sieciowy|Nr fabryczny|Kod błędu|Kod błędu (2 przet)|Data|Czas|Czas pracy (h)|Czas pracy z błędem (h)|Energia|Objętość (m3)|Obj (2 przet) (m3)|Różnica objętości (m3)|Wejście dod 1|Wejście dod 2|Wejście dod 3|Wejście dod 4|Przepływ (m3/h)|Przepływ chwilowy 2 (m3/h)|Różnica przepływu (m3/h)|Moc|T zasilania (C)|T powrotu (C)|T różnica (C)|En rej chłodu|En taryfa 1|En taryfa 2|Obj rej chłodu (m3)|Obj taryfa 1 (m3)|Obj taryfa 2 (m3)|Obj masowa 1 (m3)|Obj masowa 2 (m3)|Różnica obj mas (m3)|Data zapisu maks|Przepływ maks z mies (m3/h)|Moc maks z mies|Data zapisu śr|Przeplyw śr z doby (m3/h)|T zas śr z doby (C)|T pow śr z doby (C)|Data zapisu arch rozl|En arch rozl|En dod arch rozl|En tar1 arch rozl|En tar2 arch rozl|Obj arch rozl (m3)|Wd1 arch rozl|Wd2 arch rozl|Wd3 arch rozl|Wd4 arch rozl|Adres
51|01430908|0||19-12-11|10m24s04|97079|1276|211,765[GJ]|3292,283|||1257,156[m3]|0,005[m3]|0,000[m3]|0,000[m3]|0,043|||1,35[kW]|74,5|47,0|27,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/2
52|09970108|0||19-12-11|10m24s08|97190|1834|138,612[GJ]|1176,867|||807,871[m3]|0,001[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|41,8|38,4|3,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/3
53|24160707|0||19-12-11|10m24s12|62105|2235|176,547[GJ]|4248,787|||266,970[m3]|320,065[m3]|0,666[m3]|5,097[m3]|0,227|||9,60[kW]|60,4|24,3|36,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/4
54|08340808|0||19-12-11|10m24s17|91133|798|112,278[GJ]|1538,854|||614,514[m3]|0,000[m3]|0,000[m3]|14,121[m3]|0,209|||8,54[kW]|70,8|36,0|34,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/5
55|14610907|0||19-12-11|10m24s21|85151|13844|100,632[GJ]|1544,059|||89,364[m3]|3,938[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|72,6|31,0|41,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/6
56|02701105|0||19-12-11|10m24s25|115575|797|178,749[GJ]|5308,088|||765,078[m3]|0,001[m3]|0,000[m3]|277,935[m3]|0,056|||3,25[kW]|74,2|22,3|51,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/7
57|05331105|0||19-12-11|10m24s29|108521|429|113,410[GJ]|1376,245|||538,402[m3]|0,003[m3]|0,000[m3]|392,100[m3]|0,097|||1,44[kW]|74,1|61,0|13,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/8
58|01180908|16||19-12-11|10m24s33|92770|702|149,464[GJ]|1559,303|||759,364[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|43,8|48,0|-4,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/9
59|01100908|0||19-12-11|10m24s38|91476|813|103,312[GJ]|1063,287|||641,470[m3]|0,002[m3]|0,000[m3]|0,000[m3]|0,002|||0,09[kW]|73,0|29,7|43,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/10
5a|12361207|16||19-12-11|10m24s42|103940|2187|81,752[GJ]|972,215|||483,088[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|42,0|51,4|-9,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/11
5b|12411207|0||19-12-11|10m24s46|104943|2102|97,063[GJ]|2114,364|||507,001[m3]|0,033[m3]|0,000[m3]|0,000[m3]|0,017|||0,51[kW]|73,4|37,8|35,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/12
5c|14950606|0||19-12-11|10m24s50|115966|570|288,433[GJ]|5415,419|||288,693[m3]|0,000[m3]|0,002[m3]|0,000[m3]|0,000|||0,00[kW]|48,4|37,9|10,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/13
5d|15620608|0||19-12-11|10m24s54|100479|4470|92,384[GJ]|1111,632|||503,246[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,088|||1,80[kW]|74,5|56,4|18,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/14
5e|03080908|0||19-12-11|10m24s59|90853|9105|161,178[GJ]|2049,316|||308,487[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|54,1|27,2|26,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/15
5f|15810907|0||19-12-11|10m25s03|104045|2962|172,745[GJ]|3707,459|||463,595[m3]|0,000[m3]|0,001[m3]|0,144[m3]|0,000|||0,00[kW]|50,6|39,1|11,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/16
60|15410807|0||19-12-11|10m25s07|105853|2077|66,089[GJ]|835,022|||407,989[m3]|0,000[m3]|0,000[m3]|0,001[m3]|0,000|||0,00[kW]|50,4|40,5|9,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/17
61|14610606|0||19-12-11|10m25s11|115924|676|230,593[GJ]|7003,197|||587,430[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|45,9|37,4|8,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/18
62|01060908|0||19-12-11|10m25s16|96776|1294|129,368[GJ]|5433,720|||460,992[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,094|||1,26[kW]|73,5|61,9|11,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/19
64|24130707|0||19-12-11|10m25s23|87887|1782|4,430[GJ]|35,696|||15,345[m3]|0,000[m3]|0,003[m3]|0,002[m3]|0,015|||0,66[kW]|73,6|35,5|38,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/21
65|04490306|0||19-12-11|10m25s28|115993|8568|144,178[GJ]|1643,901|||627,498[m3]|0,000[m3]|0,000[m3]|0,020[m3]|0,000|||0,00[kW]|50,9|44,2|6,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/22
66|03490908|0||19-12-11|10m25s32|98643|20370|96,378[GJ]|748,804|||163,406[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|42,0|43,0|-1,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/23
67|23301006|0||19-12-11|10m25s36|71734|993|94,087[GJ]|1379,893|||410,348[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|73,3|26,1|47,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Wielewska 8/24
68|33885704|128||19-12-11|10m25s40|134056|995|358,174[GJ]|3045,093|||51,744[m3]|0,324[m3]|12,696[m3]|0,000[m3]|0,023|||5,33 (!)[kW]|70,4|43,3|27,1|[GJ]|[GJ]|[GJ]||||||||0,256 (!)|4,22 (!)[kW]|||||||||||||||pom. gospodarcze W8
69|20377104|0||19-12-11|10m25s45|3883|183|6358,63[GJ]|114464,63|||274,032[m3]|0,012[m3]|25,332[m3]|0,000[m3]|0,86|||26,1[kW]|93,8|64,5|29,3|[GJ]|[GJ]|[GJ]||||||||1,06|35,7[kW]|||||||||||||||węzeł cieplny W8
6a|12150609|0||19-12-11|10m25s49|90909|673|148,338[GJ]|3300,403|||553,364[m3]|0,001[m3]|0,001[m3]|0,000[m3]|0,102|||1,60[kW]|71,3|57,6|13,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/1
6b|07660709|0||19-12-11|10m25s53|90600|263|137,136[GJ]|2573,055|||348,593[m3]|0,000[m3]|0,000[m3]|112,524[m3]|0,057|||1,24[kW]|82,4|63,3|19,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/2
6c|04490409|0||19-12-11|10m25s58|93384|317|107,744[GJ]|1772,518|||555,718[m3]|0,000[m3]|0,001[m3]|0,000[m3]|0,053|||1,10[kW]|71,0|54,7|16,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/3
6d|12350609|0||19-12-11|10m26s02|89131|775|168,676[GJ]|2024,602|||605,940[m3]|0,000[m3]|0,000[m3]|100,934[m3]|0,012|||0,45[kW]|66,5|33,7|32,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/4
6e|10471105|0||19-12-11|10m26s06|108698|40|128,073[GJ]|4137,228|||532,011[m3]|0,000[m3]|0,000[m3]|441,929[m3]|0,015|||0,47[kW]|68,0|40,9|27,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/5
6f|07890709|0||19-12-11|10m26s10|90887|243|146,713[GJ]|3397,411|||852,398[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,015|||0,26[kW]|57,1|41,9|15,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/6
70|28360309|0||19-12-11|10m26s14|93546|1533|116,353[GJ]|2226,219|||714,203[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|29,9|27,7|2,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/7
71|05430409|0||19-12-11|10m26s19|93354|839|184,108[GJ]|2291,460|||359,894[m3]|0,079[m3]|0,000[m3]|0,000[m3]|0,030|||0,80[kW]|71,9|48,5|23,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/8
72|12330609|0||19-12-11|10m26s23|91316|692|105,609[GJ]|1432,882|||605,932[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,219|||12,31[kW]|66,5|28,7|37,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/9
73|07820709|0||19-12-11|10m26s27|67845|408|142,927[GJ]|4077,823|||810,855[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|40,0|36,8|3,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/10
74|00350509|0||19-12-11|10m26s31|92553|157|115,630[GJ]|2311,694|||776,804[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,191|||0,68[kW]|52,5|49,3|3,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/11
75|00280509|0||19-12-11|10m26s36|92535|140|150,424[GJ]|3597,920|||691,607[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|35,2|32,6|2,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/12
76|01120513|0||19-12-11|10m26s40|37934|705|44,582[GJ]|599,201|||297,831[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,005|||0,12[kW]|53,0|31,3|21,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/13
77|22810309|0||19-12-11|10m26s44|85103|215|70,891[GJ]|1326,921|||495,790[m3]|0,001[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|56,9|49,7|7,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/14
78|00290708|0||19-12-11|10m26s48|100035|6827|176,754[GJ]|2159,063|||1077,474[m3]|0,000[m3]|0,000[m3]|0,001[m3]|0,349|||2,47[kW]|66,7|60,8|5,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/15
79|14780511|0||19-12-11|10m26s52|47796|5598|42,896[GJ]|528,432|||218,758[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,038|||0,79[kW]|65,1|45,2|19,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/16
7a|15740206|0||19-12-11|10m26s57|120371|1981|133,488[GJ]|3006,085|||983,887[m3]|0,000[m3]|0,000[m3]|0,003[m3]|0,082|||0,91[kW]|67,0|57,1|9,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/17
7b|28650309|0||19-12-11|10m27s01|90727|122|96,026[GJ]|1396,140|||754,384[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,399|||2,55[kW]|93,9|88,2|5,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/18
7c|05350409|0||19-12-11|10m27s05|93357|404|122,959[GJ]|1981,815|||658,131[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,108|||1,25[kW]|66,7|56,6|10,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/19
7d|28450309|0||19-12-11|10m27s09|83878|173|101,801[GJ]|1618,364|||559,704[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,053|||0,62[kW]|70,8|60,5|10,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 11/20
7e|04330306|0||19-12-11|10m27s14|120527|527|116,633[GJ]|2209,044|||0,000[m3]|95,116[m3]|7,806[m3]|17,269[m3]|0,000|||0,00[kW]|34,0|26,8|7,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Socjalny K11
7f|09670106|0||19-12-11|10m27s18|119379|2858|6048,65[GJ]|100500,23|||23199,8[m3]|0,000[m3]|0,007[m3]|1,688[m3]|0,57|||21,2[kW]|119,7|86,8|32,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kotłownia K11
80|05270409|0||19-12-11|10m27s22|93606|673|112,725[GJ]|3321,949|||460,217[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,427|||3,52[kW]|76,7|69,2|7,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/1
81|25120408|0||19-12-11|10m27s26|63868|4799|33,275[GJ]|364,917|||125,183[m3]|0,002[m3]|0,000[m3]|0,000[m3]|0,030|||1,32[kW]|76,1|37,1|39,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/2
82|26610408|16||19-12-11|10m27s30|59324|4073|26,921[GJ]|393,975|||220,905[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|49,5|61,0|-11,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/3
83|05280708|0||19-12-11|10m27s35|59951|666|146,431[GJ]|2727,997|||450,446[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,330|||4,42[kW]|84,5|72,8|11,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/4
84|09720706|0||19-12-11|10m27s39|116169|2664|93,655[GJ]|1097,747|||407,911[m3]|0,000[m3]|0,000[m3]|112,904[m3]|0,014|||0,64[kW]|74,8|33,6|41,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/5
85|05260708|0||19-12-11|10m27s43|61999|2599|42,989[GJ]|739,527|||382,409[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,605|||4,47[kW]|77,1|70,5|6,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/6
86|05300708|16||19-12-11|10m27s47|59944|537|68,072[GJ]|950,515|||541,575[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|35,8|60,2|-24,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/7
87|15090206|0||19-12-11|10m27s51|117768|3612|107,578[GJ]|1852,212|||709,149[m3]|0,000[m3]|0,001[m3]|0,001[m3]|0,011|||0,41[kW]|73,6|41,0|32,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/8
88|05120707|0||19-12-11|10m27s56|108577|1857|61,856[GJ]|1088,093|||586,080[m3]|17,001[m3]|0,000[m3]|36,319[m3]|0,336|||2,38[kW]|76,8|70,6|6,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/9
89|05200708|16||19-12-11|10m28s00|59862|777|50,005[GJ]|907,505|||459,585[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,007|||0,00[kW]|45,7|61,0|-15,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/10
8a|15420307|0||19-12-11|10m28s04|109386|1830|115,064[GJ]|1265,240|||577,847[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,003|||0,13[kW]|72,6|31,3|41,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/11
8b|05140708|16||19-12-11|10m28s08|59938|534|115,370[GJ]|1430,035|||641,894[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|40,5|60,3|-19,8|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/12
8c|15010206|0||19-12-11|10m28s13|120706|4745|183,732[GJ]|4896,430|||1105,381[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|73,2|41,3|31,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/13
8d|23160309|16||19-12-11|10m28s17|67796|1892|54,996[GJ]|929,939|||238,502[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|42,1|59,4|-17,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/14
8e|15110306|16||19-12-11|10m28s21|119968|752|312,253[GJ]|7781,593|||1663,950[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|40,4|60,1|-19,7|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/15
8f|03731205|0||19-12-11|10m28s25|122312|2029|105,162[GJ]|2021,792|||814,219[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,030|||0,22[kW]|65,9|59,5|6,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/16
90|01100606|16||19-12-11|10m28s29|90774|388|92,253[GJ]|1392,757|||606,260[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|52,2|57,6|-5,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/17
91|05130708|16||19-12-11|10m28s34|59646|551|81,304[GJ]|1087,982|||596,817[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|39,5|58,5|-19,0|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/18
92|11980206|16||19-12-11|10m28s38|120607|1392|114,071[GJ]|1588,951|||679,982[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|46,2|61,1|-14,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/19
93|03230706|0||19-12-11|10m28s42|114461|3661|132,357[GJ]|1612,803|||729,372[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|66,9|39,8|27,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/20
94|05110708|0||19-12-11|10m28s46|59946|852|73,670[GJ]|1376,151|||527,734[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,071|||1,87[kW]|75,6|52,4|23,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/21
95|06670406|0||19-12-11|10m28s51|117493|8830|47,621[GJ]|605,851|||237,489[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,005|||0,08[kW]|67,8|54,6|13,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/22
96|14950306|0||19-12-11|10m28s55|108919|1833|172,031[GJ]|2511,284|||870,740[m3]|57,183[m3]|48,196[m3]|32,185[m3]|0,000|||0,00[kW]|57,0|57,2|-0,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/23
97|23090509|0||19-12-11|10m28s59|82734|999|88,712[GJ]|1173,726|||585,095[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|54,4|50,1|4,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/24
98|12160609|16||19-12-11|10m29s03|91564|1079|41,171[GJ]|519,809|||218,151[m3]|0,007[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|36,8|49,7|-12,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/25
99|05010708|16||19-12-11|10m29s08|59940|629|140,569[GJ]|3141,328|||257,547[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|39,8|64,3|-24,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/26
9a|05150708|0||19-12-11|10m29s12|59936|581|84,848[GJ]|1823,135|||264,240[m3]|0,002[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|71,5|28,3|43,2|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/27
9b|05210708|0||19-12-11|10m29s16|59948|2371|120,487[GJ]|1808,716|||1155,654[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,043|||2,16[kW]|82,0|38,4|43,6|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/28
9c|11930206|0||19-12-11|10m29s20|120570|4381|102,251[GJ]|1677,618|||485,977[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,049|||0,80[kW]|66,7|52,6|14,1|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/29
9d|07620709|0||19-12-11|10m29s24|65457|765|89,013[GJ]|1338,358|||430,269[m3]|0,000[m3]|0,000[m3]|0,805[m3]|0,000|||0,00[kW]|45,6|44,7|0,9|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/30
9e|17930106|0||19-12-11|10m29s29|120569|7161|114,044[GJ]|2121,526|||566,218[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|65,8|33,3|32,5|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/31
9f|05610910|16||19-12-11|10m29s33|60829|200|24,565[GJ]|542,886|||160,101[m3]|0,000[m3]|0,000[m3]|0,000[m3]|0,000|||0,00[kW]|64,9|91,2|-26,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||Kartuska 9/32
a0|11000707|0||19-12-11|10m29s37|100559|3051|183,146[GJ]|1713,038|||71,865[m3]|0,709[m3]|0,000[m3]|0,000[m3]|0,334|||2,07[kW]|60,0|53,7|6,3|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||administracja K9
a1|26020808|0||19-12-11|10m29s41|98167|2349|6971,41[GJ]|118514,41|||2502,608[m3]|1,188[m3]|18,192[m3]|369,230[m3]|1,25|||33,2[kW]|95,6|72,2|23,4|[GJ]|[GJ]|[GJ]|||||||||[kW]|||||||||||||||węzeł K9
